game,score
1425,185
1426,157
1427,155
1428,170
1429,171
1430,180
1431,184
1432,176
1433,186
1434,175
1435,177
1436,168
1437,180
1438,181
1439,179
1440,182
1441,182
1442,184
1443,173
1444,167
1445,190
1446,188
1447,182
1448,178
1449,185
1450,183
1451,174
1452,170
1453,178
1454,175
1455,162
1456,169
1457,183
1458,172
1459,169
1460,185
1461,183
1462,165
1463,181
1464,162
1465,178
1466,177
1467,172
1468,186
1469,186
1470,153
1471,180
1472,187
1473,176
1474,182
1475,181
1476,179
1477,164
1478,179
1479,174
1480,158
1481,184
1482,175
1483,142
1484,151
1485,150
1486,178
1487,181
1488,183
1489,178
1490,165
1491,176
1492,168
1493,168
1494,161
1495,170
1496,167
1497,143
1498,183
1499,179
1500,169
1501,183
1502,174
1503,177
1504,179
1505,180
1506,169
1507,168
1508,186
1509,176
1510,150
1511,181
1512,176
1513,183
1514,174
1515,158
1516,164
1517,180
1518,176
1519,166
1520,183
1521,183
1522,168
1523,181
1524,165
1525,168
1526,182
1527,188
1528,179
1529,175
1530,158
1531,183
1532,182
1533,172
1534,125
1535,154
1536,151
1537,177
1538,125
1539,182
1540,173
1541,174
1542,178
1543,174
1544,190
1545,182
1546,189
1547,162
1548,182
1549,175
1550,160
1551,177
1552,177
1553,166
1554,185
1555,180
1556,179
1557,182
1558,188
1559,88
1560,164
1561,181
1562,178
1563,175
1564,160
1565,176
1566,181
1567,184
1568,180
1569,184
1570,177
1571,181
1572,171
1573,180
1574,175
1575,182
1576,156
1577,179
1578,177
1579,125
1580,132
1581,155
1582,179
1583,174
1584,175
1585,188
1586,183
1587,177
1588,186
1589,184
1590,189
1591,181
1592,169
1593,182
1594,172
1595,177
1596,169
1597,172
1598,166
1599,186
1600,173
1601,181
1602,180
1603,152
1604,178
1605,178
1606,183
1607,168
1608,173
1609,188
1610,142
1611,184
1612,186
1613,174
1614,180
1615,186
1616,154
1617,188
1618,179
1619,182
1620,171
1621,184
1622,173
1623,162
1624,176
1625,175
1626,175
1627,176
1628,175
1629,182
1630,160
1631,188
1632,179
1633,178
1634,181
1635,175
1636,177
1637,181
1638,179
1639,180
1640,173
1641,175
1642,160
1643,184
1644,164
1645,166
1646,168
1647,173
1648,182
1649,174
1650,178
1651,183
1652,166
1653,162
1654,160
1655,158
1656,188
1657,185
1658,173
1659,185
1660,172
1661,189
1662,163
1663,185
1664,183
1665,172
1666,182
1667,173
1668,189
1669,178
1670,168
1671,180
1672,178
1673,171
1674,174
1675,186
1676,186
1677,159
1678,183
1679,175
1680,187
1681,181
1682,178
1683,156
1684,173
1685,171
1686,170
1687,160
1688,182
1689,173
1690,186
1691,182
1692,175
1693,177
1694,189
1695,169
1696,175
1697,180
1698,184
1699,181
1700,167
1701,173
1702,177
1703,179
1704,168
1705,176
1706,186
1707,177
1708,178
1709,187
1710,171
1711,189
1712,178
1713,175
1714,163
1715,180
1716,176
1717,166
1718,190
1719,181
1720,185
1721,125
1722,176
1723,153
1724,189
1725,167
1726,161
1727,172
1728,182
1729,183
1730,181
1731,170
1732,182
1733,188
1734,185
1735,179
1736,181
1737,179
1738,184
1739,172
1740,183
1741,166
1742,180
1743,180
1744,180
1745,180
1746,128
1747,177
1748,180
1749,164
1750,161
1751,184
1752,154
1753,182
1754,183
1755,174
1756,179
1757,161
1758,181
1759,162
1760,172
1761,181
1762,169
1763,172
1764,176
1765,160
1766,164
1767,175
1768,106
1769,150
1770,173
1771,159
1772,186
1773,184
1774,174
1775,187
1776,154
1777,165
1778,187
1779,165
1780,176
1781,153
1782,141
1783,154
1784,181
1785,171
1786,178
1787,143
1788,171
1789,180
1790,183
1791,183
1792,176
1793,182
1794,181
1795,177
1796,155
1797,174
1798,186
1799,179
1800,171
1801,185
1802,145
1803,169
1804,180
1805,178
1806,167
1807,179
1808,184
1809,138
1810,174
1811,178
1812,168
1813,173
1814,177
1815,174
1816,189
1817,174
1818,180
1819,164
1820,156
1821,180
1822,183
1823,182
1824,167
1825,176
1826,171
1827,152
1828,189
1829,181
1830,188
1831,156
1832,184
1833,167
1834,186
1835,183
1836,185
1837,167
1838,179
1839,180
1840,184
1841,174
1842,180
1843,138
1844,176
1845,169
1846,176
1847,161
1848,156
1849,162
1850,158
1851,141
1852,187
1853,190
1854,182
1855,172
1856,142
1857,140
1858,175
1859,183
1860,176
1861,175
1862,146
1863,172
1864,164
1865,180
1866,172
1867,182
1868,156
1869,179
1870,182
1871,175
1872,178
1873,186
1874,176
1875,168
1876,175
1877,179
1878,147
1879,181
1880,185
1881,180
1882,174
1883,183
1884,184
1885,182
1886,164
1887,171
1888,178
1889,174
1890,156
1891,159
1892,164
1893,179
1894,183
1895,186
1896,174
1897,166
1898,189
1899,179
1900,181
1901,154
1902,182
1903,149
1904,179
1905,185
1906,186
1907,173
1908,173
1909,175
1910,188
1911,154
1912,173
1913,181
1914,167
1915,182
1916,160
1917,168
1918,179
1919,171
1920,168
1921,163
1922,149
1923,187
1924,182
1925,176
1926,187
1927,171
1928,157
1929,172
1930,174
1931,186
1932,164
1933,160
1934,173
1935,170
1936,178
1937,183
1938,175
1939,189
1940,178
1941,166
1942,164
1943,190
1944,186
1945,174
1946,184
1947,164
1948,186
1949,178
1950,174
1951,178
1952,181
1953,177
1954,187
1955,183
1956,166
1957,181
1958,178
1959,182
1960,178
1961,147
1962,164
1963,153
1964,173
1965,186
1966,163
1967,172
1968,179
1969,182
1970,159
1971,171
1972,182
1973,165
1974,154
1975,173
1976,167
1977,184
1978,187
1979,181
1980,110
1981,167
1982,165
1983,184
1984,156
1985,168
1986,188
1987,151
1988,161
1989,160
1990,170
1991,146
1992,135
1993,171
1994,181
1995,160
1996,170
1997,174
1998,171
1999,160
2000,184
