@relation pacman-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast

@attribute pos_x numeric
@attribute pos_y numeric
@attribute ghost1_alive {0,1}
@attribute ghost2_alive {0,1}
@attribute ghost3_alive {0,1}
@attribute ghost4_alive {0,1}
@attribute ghost1_pos_x numeric
@attribute ghost1_pos_y numeric
@attribute ghost2_pos_x numeric
@attribute ghost2_pos_y numeric
@attribute ghost3_pos_x numeric
@attribute ghost3_pos_y numeric
@attribute ghost4_pos_x numeric
@attribute ghost4_pos_y numeric
@attribute distance_to_ghost1 numeric
@attribute distance_to_ghost2 numeric
@attribute distance_to_ghost3 numeric
@attribute distance_to_ghost4 numeric
@attribute relative_distance_ghost1_x numeric
@attribute relative_distance_ghost1_y numeric
@attribute relative_distance_ghost2_x numeric
@attribute relative_distance_ghost2_y numeric
@attribute relative_distance_ghost3_x numeric
@attribute relative_distance_ghost3_y numeric
@attribute relative_distance_ghost4_x numeric
@attribute relative_distance_ghost4_y numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute score numeric
@attribute chosen_move {1,2,3,4,5}

@data
20,6,0,0,0,1,1,1,3,1,5,1,23,15,-1,-1,-1,19,19,5,17,5,15,5,-3,-9,0,1,1,1,546,3
21,6,0,0,0,1,1,1,3,1,5,1,24,15,-1,-1,-1,19,20,5,18,5,16,5,-3,-9,0,0,1,1,545,3
22,6,0,0,0,1,1,1,3,1,5,1,24,16,-1,-1,-1,19,21,5,19,5,17,5,-2,-10,0,0,1,1,544,3
23,6,0,0,0,1,1,1,3,1,5,1,24,15,-1,-1,-1,17,22,5,20,5,18,5,-1,-9,1,1,1,1,543,3
23,7,0,0,0,1,1,1,3,1,5,1,23,15,-1,-1,-1,15,22,6,20,6,18,6,0,-8,1,1,1,0,542,1
23,8,0,0,0,1,1,1,3,1,5,1,22,15,-1,-1,-1,13,22,7,20,7,18,7,1,-7,1,1,1,1,541,1
23,9,0,0,0,1,1,1,3,1,5,1,21,15,-1,-1,-1,11,22,8,20,8,18,8,2,-6,1,1,1,0,540,1
23,10,0,0,0,1,1,1,3,1,5,1,20,15,-1,-1,-1,9,22,9,20,9,18,9,3,-5,1,1,1,1,539,1
22,10,0,0,0,1,1,1,3,1,5,1,21,15,-1,-1,-1,9,21,9,19,9,17,9,1,-5,1,0,1,1,538,4
21,10,0,0,0,1,1,1,3,1,5,1,20,15,-1,-1,-1,7,20,9,18,9,16,9,1,-5,0,0,1,1,537,4
20,10,0,0,0,1,1,1,3,1,5,1,20,15,-1,-1,-1,6,19,9,17,9,15,9,0,-5,1,0,1,1,536,4
20,11,0,0,0,1,1,1,3,1,5,1,20,15,-1,-1,-1,5,19,10,17,10,15,10,0,-4,1,1,0,1,535,1
20,12,0,0,0,1,1,1,3,1,5,1,20,15,-1,-1,-1,4,19,11,17,11,15,11,0,-3,1,1,0,1,534,1
20,13,0,0,0,1,1,1,3,1,5,1,21,15,-1,-1,-1,4,19,12,17,12,15,12,-1,-2,1,1,0,1,533,1
20,14,0,0,0,1,1,1,3,1,5,1,21,16,-1,-1,-1,4,19,13,17,13,15,13,-1,-2,1,1,0,1,532,1
20,15,0,0,0,1,1,1,3,1,5,1,21,16,-1,-1,-1,3,19,14,17,14,15,14,-1,-1,1,1,1,0,531,1
20,16,0,0,0,1,1,1,3,1,5,1,21,16,-1,-1,-1,2,19,15,17,15,15,15,-1,0,1,1,1,0,530,1
1,17,1,1,1,1,5,9,10,3,17,5,25,13,19,24,29,31,-4,8,-9,14,-16,12,-24,4,1,1,0,0,0,2
1,16,1,1,1,1,5,9,10,3,18,5,25,13,18,23,29,30,-4,7,-9,13,-17,11,-24,3,1,1,1,0,-1,2
1,15,1,1,1,1,5,9,10,4,17,5,25,13,17,21,27,29,-4,6,-9,11,-16,10,-24,2,1,1,1,0,-2,2
1,14,1,1,1,1,5,8,9,4,17,6,25,13,15,19,25,30,-4,6,-8,10,-16,8,-24,1,1,1,1,0,-3,2
1,13,1,1,1,1,5,7,9,4,18,6,25,13,13,18,25,31,-4,6,-8,9,-17,7,-24,0,1,1,0,0,-4,2
1,12,1,1,1,1,5,7,9,5,18,6,25,14,12,16,24,29,-4,5,-8,7,-17,6,-24,-2,1,1,1,0,-5,2
1,11,1,1,1,1,5,6,10,5,18,5,24,14,10,16,26,29,-4,5,-9,6,-17,6,-23,-3,1,1,0,0,-6,2
1,10,1,1,1,1,5,7,9,5,19,5,23,14,10,14,28,29,-4,3,-8,5,-18,5,-22,-4,1,1,0,0,-7,2
1,9,1,1,1,1,5,7,8,5,19,5,23,15,9,12,29,29,-4,2,-7,4,-18,4,-22,-6,1,1,0,0,-8,2
1,8,1,1,1,1,6,7,9,5,18,5,23,16,9,12,29,31,-5,1,-8,3,-17,3,-22,-8,1,1,0,0,-9,2
1,7,1,1,1,1,6,8,9,5,18,5,24,16,9,11,30,33,-5,-1,-8,2,-17,2,-23,-9,1,1,0,0,-10,2
1,6,1,1,1,1,6,7,9,5,18,5,23,16,7,10,31,33,-5,-1,-8,1,-17,1,-22,-10,1,1,1,0,-11,2
2,6,1,1,1,1,5,7,9,5,19,5,23,15,5,9,31,31,-3,-1,-7,1,-17,1,-21,-9,0,1,1,1,-12,3
